Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,rolling_mean_7,lag_1,lag_7,lag_14,rolling_mean_14,rolling_std_7,net_pressure,day_of_week,month,quarter,intake_discharge_ratio
124.0,234.0,161.0,7908.0,353.0,7823.714285714285,7915.0,7803.0,6566.0,7654.071428571428,124.51467689354465,-192.0,3,2,1,0.3502824858757062
92.0,203.0,173.0,7434.0,317.0,7756.714285714285,7908.0,7903.0,7122.0,7676.357142857143,185.82762109520763,-144.0,6,2,1,0.2893081761006289
186.0,259.0,172.0,7483.0,244.0,7700.142857142857,7434.0,7879.0,7280.0,7690.857142857143,201.9714737047677,-72.0,0,2,1,0.7591836734693878
154.0,225.0,220.0,7794.0,223.0,7729.857142857143,7483.0,7586.0,7433.0,7716.642857142857,197.63386060374933,-3.0,1,2,1,0.6875
91.0,199.0,172.0,7869.0,290.0,7751.142857142857,7794.0,7720.0,7538.0,7740.285714285715,204.3064924498047,-118.0,2,2,1,0.3127147766323024
81.0,213.0,153.0,7793.0,361.0,7742.285714285715,7869.0,7855.0,7472.0,7763.214285714285,200.35943891392802,-208.0,3,2,1,0.22375690607734808
209.0,285.0,184.0,7817.0,209.0,7728.285714285715,7793.0,7915.0,7743.0,7768.5,189.40407799702763,-25.0,0,2,1,0.9952380952380953
184.0,314.0,217.0,7967.0,213.0,7736.714285714285,7817.0,7908.0,7803.0,7780.214285714285,199.7637890824329,4.0,1,2,1,0.8598130841121495
107.0,215.0,230.0,7978.0,232.0,7814.428571428572,7967.0,7434.0,7903.0,7785.571428571428,165.19670814199426,-2.0,2,2,1,0.4592274678111588
101.0,162.0,178.0,7914.0,386.0,7876.0,7978.0,7483.0,7879.0,7788.071428571428,78.81624198094237,-208.0,3,2,1,0.26098191214470284
99.0,190.0,176.0,7609.0,323.0,7849.571428571428,7914.0,7794.0,7586.0,7789.714285714285,127.1139346450695,-147.0,6,2,1,0.3055555555555556
167.0,239.0,166.0,7800.0,248.0,7839.714285714285,7609.0,7869.0,7720.0,7795.428571428572,128.02827068751958,-82.0,0,2,1,0.6706827309236948
115.0,216.0,169.0,7896.0,200.0,7854.428571428572,7800.0,7793.0,7855.0,7798.357142857143,127.68301524067704,-31.0,1,2,1,0.572139303482587
84.0,158.0,193.0,7930.0,307.0,7870.571428571428,7896.0,7817.0,7915.0,7799.428571428572,129.29534297214343,-114.0,2,3,1,0.2727272727272727
130.0,227.0,192.0,7870.0,335.0,7856.714285714285,7930.0,7967.0,7908.0,7796.714285714285,122.24390139622506,-143.0,3,3,1,0.3869047619047619
88.0,214.0,160.0,7859.0,259.0,7839.714285714285,7870.0,7978.0,7434.0,7827.071428571428,110.2523080419185,-99.0,1,3,1,0.3384615384615385
113.0,208.0,159.0,7885.0,291.0,7835.571428571428,7859.0,7914.0,7483.0,7855.785714285715,107.50636747475812,-132.0,2,3,1,0.386986301369863
174.0,285.0,150.0,7786.0,340.0,7860.857142857143,7885.0,7609.0,7794.0,7855.214285714285,51.6282499265157,-190.0,3,3,1,0.5102639296187683
104.0,230.0,206.0,7567.0,249.0,7827.571428571428,7786.0,7800.0,7869.0,7833.642857142857,123.07566391296788,-43.0,0,3,1,0.416
147.0,276.0,214.0,7810.0,181.0,7815.285714285715,7567.0,7896.0,7793.0,7834.857142857143,119.34224494524258,33.0,1,3,1,0.8076923076923077
